48.02165 0.7999971 30
75.28805 12.26831 60
102.3922 25.12656 90
129.1935 38.50385 120
144.389 63.27721 150
139.8686 92.6942 180
128.4866 120.4387 210
110.598 144.0441 240
82.37621 153.1467 270
52.42145 154.0134 300
23.17943 147.8441 330
-2.965024 133.2933 360
-25.60773 113.7815 390
-39.21867 87.23687 420
-42.61941 57.7296 450
-34.58998 29.04351 480
-15.04981 6.485875 510
11.08992 -7.472889 540
39.71491 -4.157064 570
48.02165 0.7999971 600
48.02165 0.7999971 630
48.02165 0.7999971 30
75.28805 12.26831 60
102.3922 25.12656 90
129.1935 38.50385 120
144.389 63.27721 150
139.8686 92.6942 180
128.4866 120.4387 210
110.598 144.0441 240
82.37621 153.1467 270
52.42145 154.0134 300
23.17943 147.8441 330
-2.965024 133.2933 360
-25.60773 113.7815 390
-39.21867 87.23687 420
-42.61941 57.7296 450
-34.58998 29.04351 480
-15.04981 6.485875 510
11.08992 -7.472889 540
39.71491 -4.157064 570
48.02165 0.7999971 600
48.02165 0.7999971 630
48.02165 0.7999971 30
75.28805 12.26831 60
102.3922 25.12656 90
129.1935 38.50385 120
144.389 63.27721 150
139.8686 92.6942 180
128.4866 120.4387 210
110.598 144.0441 240
82.37621 153.1467 270
52.42145 154.0134 300
23.17943 147.8441 330
-2.965024 133.2933 360
-25.60773 113.7815 390
-39.21867 87.23687 420
-42.61941 57.7296 450
-34.58998 29.04351 480
-15.04981 6.485875 510
11.08992 -7.472889 540
39.71491 -4.157064 570
48.02165 0.7999971 600
48.02165 0.7999971 630
48.02165 0.7999971 30
75.28805 12.26831 60
102.3922 25.12656 90
129.1935 38.50385 120
144.389 63.27721 150
139.8686 92.6942 180
128.4866 120.4387 210
110.598 144.0441 240
82.37621 153.1467 270
52.42145 154.0134 300
23.17943 147.8441 330
-2.965024 133.2933 360
-25.60773 113.7815 390
-39.21867 87.23687 420
-42.61941 57.7296 450
-34.58998 29.04351 480
-15.04981 6.485875 510
11.08992 -7.472889 540
39.71491 -4.157064 570
48.02165 0.7999971 600
48.02165 0.7999971 630
48.02165 0.7999971 30
75.28805 12.26831 60
102.3922 25.12656 90
129.1935 38.50385 120
144.389 63.27721 150
139.8686 92.6942 180
128.4866 120.4387 210
110.598 144.0441 240
82.37621 153.1467 270
52.42145 154.0134 300
23.17943 147.8441 330
-2.965024 133.2933 360
-25.60773 113.7815 390
-39.21867 87.23687 420
-42.61941 57.7296 450
-34.58998 29.04351 480
-15.04981 6.485875 510
11.08992 -7.472889 540
39.71491 -4.157064 570
48.02165 0.7999971 600
48.02165 0.7999971 630
48.02165 0.7999971 30
75.28805 12.26831 60
102.3922 25.12656 90
129.1935 38.50385 120
144.389 63.27721 150
139.8686 92.6942 180
128.4866 120.4387 210
110.598 144.0441 240
82.37621 153.1467 270
52.42145 154.0134 300
23.17943 147.8441 330
-2.965024 133.2933 360
-25.60773 113.7815 390
-39.21867 87.23687 420
-42.61941 57.7296 450
-34.58998 29.04351 480
-15.04981 6.485875 510
11.08992 -7.472889 540
39.71491 -4.157064 570
48.02165 0.7999971 600
48.02165 0.7999971 630
48.02165 0.7999971 30
75.28805 12.26831 60
102.3922 25.12656 90
129.1935 38.50385 120
144.389 63.27721 150
139.8686 92.6942 180
128.4866 120.4387 210
110.598 144.0441 240
82.37621 153.1467 270
52.42145 154.0134 300
23.17943 147.8441 330
-2.965024 133.2933 360
-25.60773 113.7815 390
-39.21867 87.23687 420
-42.61941 57.7296 450
-34.58998 29.04351 480
-15.04981 6.485875 510
11.08992 -7.472889 540
39.71491 -4.157064 570
48.02165 0.7999971 600
48.02165 0.7999971 630
